时间,开盘,收盘,最高,最低,成交量
2010-01-04,3243.76,3289.75,3295.28,3243.32,10.94
2010-01-05,3282.18,3254.47,3290.51,3221.46,12.61
2010-01-06,3254.22,3277.52,3295.87,3253.04,12.37
2010-01-07,3192.78,3253.99,3268.82,3176.71,12.87
2010-01-08,3196.0,3177.26,3198.92,3149.02,9.84
2010-01-11,3212.75,3301.61,3306.75,3197.33,13.63
2010-01-12,3273.97,3205.7,3275.2,3180.09,14.07
2010-01-13,3172.66,3204.98,3232.82,3165.49,15.83
2010-01-14,3215.55,3183.38,3219.02,3165.59,13.6
2010-01-15,3224.15,3217.19,3241.82,3197.22,12.05
2010-01-18,3237.1,3213.64,3238.24,3202.21,13.51
2010-01-19,3246.87,3242.22,3268.81,3236.84,12.99
2010-01-20,3151.85,3252.04,3255.13,3148.33,15.82
2010-01-21,3158.86,3154.19,3176.15,3126.9,11.43
2010-01-22,3128.59,3118.72,3147.83,3062.63,13.78
2010-01-25,3094.41,3103.32,3137.0,3092.93,7.84
2010-01-26,3019.39,3094.85,3107.2,3001.96,9.35
2010-01-27,2986.61,3020.54,3028.65,2972.63,7.66
2010-01-28,2994.14,2985.21,3006.04,2963.89,7.34
2010-01-29,2989.29,2979.74,3024.85,2968.45,8.05
2010-02-01,2941.36,2981.37,2981.37,2912.89,8.81
2010-02-02,2934.71,2955.75,2990.75,2930.56,8.25
2010-02-03,3003.84,2945.03,3005.13,2890.02,10.1
2010-02-04,2995.31,2983.05,3015.13,2968.68,9.99
2010-02-05,2939.4,2936.2,2959.23,2918.91,9.73
2010-02-08,2935.17,2936.45,2954.27,2922.19,6.33
2010-02-09,2948.84,2932.09,2957.47,2929.21,6.23
2010-02-10,2982.5,2967.14,2983.18,2958.22,5.56
2010-02-11,2985.5,2985.08,3001.64,2976.08,5.66
2010-02-12,3018.13,2996.09,3018.86,2993.44,5.61
2010-02-22,3003.4,3016.7,3026.66,3002.81,6.85
2010-02-23,2982.57,2998.91,2998.91,2938.75,8.04
2010-02-24,3022.18,2964.98,3023.74,2955.07,9.29
2010-02-25,3060.62,3026.66,3063.0,3022.37,11.97
2010-02-26,3051.94,3053.5,3067.53,3041.69,10.13
2010-03-01,3087.84,3057.01,3093.09,3054.55,11.1
2010-03-02,3073.11,3089.71,3095.99,3060.96,10.53
2010-03-03,3097.01,3074.1,3098.46,3061.47,11.72
2010-03-04,3023.37,3098.07,3102.4,3016.22,12.64
2010-03-05,3031.07,3026.64,3044.16,3011.09,9.23
2010-03-08,3053.23,3036.41,3058.83,3030.91,8.1
2010-03-09,3069.14,3053.26,3084.85,3028.69,9.24
2010-03-10,3048.93,3067.15,3085.99,3034.74,8.46
2010-03-11,3051.28,3050.64,3070.93,3025.31,7.99
2010-03-12,3013.41,3051.47,3057.52,3011.97,7.14
2010-03-15,2976.94,3010.72,3013.52,2963.49,6.38
2010-03-16,2992.84,2974.49,2993.84,2963.44,5.96
2010-03-17,3050.48,2999.82,3050.76,2994.89,8.71
2010-03-18,3046.09,3053.16,3063.59,3035.02,9.14
2010-03-19,3067.75,3046.75,3069.66,3031.02,8.85
2010-03-22,3074.58,3069.66,3083.34,3061.76,9.65
2010-03-23,3053.12,3076.96,3082.97,3051.21,9.29
2010-03-24,3056.81,3058.93,3076.75,3052.21,8.93
2010-03-25,3019.18,3051.36,3051.36,3012.31,9.02
2010-03-26,3059.72,3017.22,3067.71,3009.91,9.31
2010-03-29,3123.8,3076.05,3130.28,3071.69,13.19
2010-03-30,3128.47,3123.83,3132.58,3113.77,10.24
2010-03-31,3109.11,3129.57,3130.11,3101.76,10.11
2010-04-01,3147.42,3111.93,3148.34,3111.93,12.68
2010-04-02,3157.96,3154.77,3159.6,3141.87,12.28
2010-04-06,3158.68,3170.61,3177.97,3141.93,11.68
2010-04-07,3148.22,3156.31,3161.08,3132.24,10.35
2010-04-08,3118.71,3143.45,3143.83,3110.26,11.46
2010-04-09,3145.35,3118.93,3146.46,3114.79,10.54
2010-04-12,3129.26,3151.89,3156.21,3111.9,13.8
2010-04-13,3161.25,3129.69,3173.63,3101.48,14.4
2010-04-14,3166.18,3161.55,3167.66,3145.55,10.64
2010-04-15,3164.97,3168.14,3181.66,3135.99,10.63
2010-04-16,3130.3,3159.67,3159.67,3121.36,8.09
2010-04-19,2980.3,3096.78,3096.78,2977.77,12.94
2010-04-20,2979.53,2980.08,2998.91,2941.35,10.17
2010-04-21,3033.28,2984.62,3034.33,2972.1,11.63
2010-04-22,2999.48,3021.29,3023.64,2978.46,12.17
2010-04-23,2983.54,2995.57,3015.63,2966.78,10.35
2010-04-26,2969.5,2988.08,2996.83,2965.83,8.91
2010-04-27,2907.93,2962.14,2962.14,2866.34,10.83
2010-04-28,2900.33,2883.17,2916.68,2865.47,8.37
2010-04-29,2868.43,2912.2,2928.93,2867.94,8.93
2010-04-30,2870.61,2867.65,2875.81,2820.95,8.87
2010-05-04,2835.28,2821.35,2862.55,2809.13,6.61
2010-05-05,2857.15,2804.51,2857.29,2770.33,9.53
2010-05-06,2739.7,2838.95,2838.95,2735.0,9.26
2010-05-07,2688.38,2685.99,2732.18,2665.81,9.2
2010-05-10,2698.76,2690.86,2713.06,2646.59,8.19
2010-05-11,2647.57,2745.6,2751.07,2638.53,8.79
2010-05-12,2655.71,2628.02,2668.12,2604.2,8.25
2010-05-13,2710.51,2653.58,2711.07,2646.9,8.31
